aud_id,rev_type,gid,methn,gnpgs,gpid1,gpid2,created_by,lgid,glocn,gdate,gref,grplce,mgid,cid,sid,gchange,deleted,germplsm_uuid,modified_by,created_date,modified_date
61,0,60602,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GXlAc3QcN,NULL,2022-06-30 13:37:32,NULL
62,0,60603,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GZLZVRt2x,NULL,2022-06-30 13:37:32,NULL
63,0,60604,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GLgFGG7Bx,NULL,2022-06-30 13:37:32,NULL
64,0,60605,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GS9r2KjhK,NULL,2022-06-30 13:37:32,NULL
65,0,60606,31,-1,0,0,109,0,25667,20220706,0,0,0,NULL,NULL,NULL,0,QAP6G3R6v3IfP,NULL,2022-07-06 12:03:36,NULL
66,0,60607,31,-1,0,0,109,0,25667,20220706,0,0,0,NULL,NULL,NULL,0,QAP6GxWPwS8TQ,NULL,2022-07-06 12:03:36,NULL
67,0,60608,31,-1,0,0,109,0,25667,20220706,0,0,0,NULL,NULL,NULL,0,QAP6GkYEXI9Ie,NULL,2022-07-06 12:03:36,NULL
68,0,60609,31,-1,0,0,109,0,25667,20220706,0,0,0,NULL,NULL,NULL,0,QAP6G1Rxb3kVY,NULL,2022-07-06 12:03:36,NULL
69,0,60610,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GgCwX8UKc,NULL,2022-07-11 09:58:13,NULL
70,0,60611,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GuaVwWnaC,NULL,2022-07-11 09:58:13,NULL
71,0,60612,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Ggbpf8IvP,NULL,2022-07-11 09:58:13,NULL
72,0,60613,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6Ghgk2yQCR,NULL,2022-07-11 09:58:13,NULL
73,0,60614,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GPjPk4bjV,NULL,2022-07-11 09:58:13,NULL
74,0,60615,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GJjLskI6E,NULL,2022-07-11 09:58:13,NULL
75,0,60616,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GS2gOX3G1,NULL,2022-07-11 09:58:13,NULL
76,0,60617,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GJj56LgUi,NULL,2022-07-11 09:58:13,NULL
77,0,60618,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G5X8WOIl5,NULL,2022-07-11 09:58:13,NULL
78,0,60619,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GP6xIj21Q,NULL,2022-07-11 09:58:13,NULL
79,0,60620,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GjDjGL1zY,NULL,2022-07-11 09:58:13,NULL
80,0,60621,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GCInSIZYO,NULL,2022-07-11 09:58:13,NULL
81,0,60622,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GFfKIEthe,NULL,2022-07-11 09:58:13,NULL
82,0,60623,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GZc7esseN,NULL,2022-07-11 09:58:13,NULL
83,0,60624,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GNJjmku5g,NULL,2022-07-11 09:58:13,NULL
84,0,60625,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GPtimDGGu,NULL,2022-07-11 09:58:13,NULL
85,0,60626,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6G7FZaRl3E,NULL,2022-07-11 09:58:13,NULL
86,0,60627,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GvwqUJoku,NULL,2022-07-11 09:58:13,NULL
87,0,60628,31,-1,0,0,109,0,25667,20220711,0,0,0,NULL,NULL,NULL,0,QAP6GDf5tbJFN,NULL,2022-07-11 09:58:13,NULL
