locid,llpn,lat,lon,alt,llsource,ll_fmt,ll_datum,ll_uncert,llref,lldate,lluid
127,1,49.75,6.1667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,1,56,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,1,22.1667,113.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,1,-20,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,1,-13.5,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,1,2.5,112.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,1,3.25,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,1,17,-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,1,35.8333,14.5833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,1,14.6667,-61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,1,41.8333,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,1,20,-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,1,-20.2833,57.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,1,23,-102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,1,6.9167,158.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,1,43.7333,7.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,1,46,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,1,47,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,1,16.75,-62.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,1,32,-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,1,-18.25,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,1,-22,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,1,-0.5333,166.9167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,1,28,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,1,52.5,5.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,1,12.25,-68.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,1,-21.5,165.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,1,-41,174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,1,13,-85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,1,16,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,1,10,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,1,-19.0333,-169.8667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,1,-29.0333,167.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,1,62,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,1,21,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,1,30,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,1,32,35.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,1,9,-80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,1,-6,147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,1,-23,-58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,1,-10,-76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,1,13,122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,1,52,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,1,39.5,-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,1,18.25,-66.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,1,25.5,51.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,1,-21.1,55.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,1,-54.5,-37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,1,46,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,1,60,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,1,-2,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,1,13.8833,-61.1333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,1,-13.5833,-172.3333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,1,43.7667,12.4167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,1,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,1,25,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,1,14,-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,1,-4.5833,55.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,1,8.5,-11.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,1,1.3667,103.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,1,48.6667,19.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,1,46,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,1,-8,159,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,1,10,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,1,-29,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,1,40,-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,1,7,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,1,-15.9333,-5.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,1,17.3333,-62.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,1,46.8333,-56.3333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,1,13.25,-61.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,1,15,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,1,4,-56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,1,78,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,1,-26.5,31.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,1,62,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,1,47,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,1,35,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,1,23.5,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,1,39,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,1,-6,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,1,15,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,1,8,1.1667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,1,-9,-172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,1,-20,-175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,1,11,-61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,1,34,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,1,39,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,1,21.75,-71.5833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,1,40,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,1,-8,178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,1,41,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,1,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,1,49,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,1,24,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,1,54,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,1,38,-97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,1,13,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,1,-33,-56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,1,-16,167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,1,8,-66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,1,16,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,1,18.5,-64.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,1,18.3333,-64.8333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,1,-13.3,-176.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,1,24.5,-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,1,15,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,1,-15,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,1,-20,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,1,45.1667,15.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
248,1,48,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,1,18.25,-63.1667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,1,12.5,-69.9667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,1,42,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,1,0,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,1,9,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,1,-12.8333,45.1667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
263,1,15.2,145.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
264,1,7.5,134.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,1,-43,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,1,49.47,-2.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,1,54.25,-4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,1,49.25,-2.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,1,17.9,-62.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,1,18.08,-63.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,1,44,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,1,19.2833,166.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1001,1,36.75,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1002,1,35,63.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1003,1,35.75,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1,34.75,67.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1005,1,33,62.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1006,1,36,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1007,1,33,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1008,1,34,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1009,1,31,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1010,1,34.5,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1011,1,34.5,69.416667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
