HH_Id,Region,Zone,District,PA,Village,HHH_Name,HHH_Sex,HHH_Age,HHH_Edcn,Intro_Study,Consent_Resp,HH_Replacement,New_HH_Id,Wheat_Cult,GPS,GPS_Lat,GPS_Long,Interview_Date,Supervisor,Enumerator_Name,MHH_FHH,MHH_Name,FHH_Name,MHH_Phone,FHH_Phone,Respondent_Othr,Respondent_Name,Respondent_Phone,HH_Intvw_LastRound_Yn,Num_HH_Memb,Num_HH_Boys,Num_HH_Girl,Num_Boys_AttndSchool,Num_Girl_AttndSchool,Total_Num_OM,Num_OM_Work,Num_OM_Study,Num_OM_Other,Main_Language,Language_Othr,MHH_Relgn,MHH_Relgn_Othr,FHH_Relgn,FHH_Relgn_Othr,Num_HH_AdultMemb
567,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Dubesa,Removed,Male,44,4,1,1,,1,1,1,9.69,39.45,03082021,3,33,1,Removed,Removed,Removed,Removed,0, ,,1,4,3,0,3,,0,,,,2, ,1, ,1, ,4
568,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Dubisa,Removed,Male,72,Adult education or 1 year of education,1,1,,1,1,1,9.69,39.45,04082021,3,33,1,Removed,Removed,Removed,0,0, ,,1,5,1,1,1,1,0,,,,2, ,1, ,1, ,5
569,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Dubisa,Removed,Male,51,4,1,1,,1,1,1,9.69,39.45,04082021,3,33,1,Removed,Removed,Removed,0,1,Removed,Removed,1,6,2,0,2,,0,,,,2, ,1, ,1, ,6
570,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Lay Wobi,Removed,Male,56,None/Illiterate,1,1,,1,1,1,9.69,39.47,03082021,3,36,1,Removed,Removed,Removed,0,0, ,,1,3,1,1,1,1,0,,,,2, ,1, ,1, ,3
571,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Tach Amba,Removed,Male,66,None/Illiterate,1,1,,1,1,1,9.44,39.37,03082021,3,34,1,Removed,Removed,0,0,0, ,,1,4,3,0,2,,0,,,,2, ,1, ,1, ,4
572,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Tach wube,Removed,Male,49,2,1,1,,1,1,1,9.69,39.45,03082021,3,3,1,Removed,Removed,Removed,0,0, ,,1,3,2,3,1,1,1,0,0,1,2, ,1, ,1, ,3
573,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Tach Amba,Removed,Male,45,None/Illiterate,1,1,,1,1,1,9.63,39.42,03082021,3,34,1,Removed,Removed,0,0,0, ,,1,3,1,3,1,1,0,,,,2, ,1, ,1, ,3
574,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Berbisa,Removed,Male,74,None/Illiterate,1,1,,1,1,1,9.69,39.42,03082021,3,31,1,Removed,Removed,Removed,0,0, ,,1,6,1,1,1,0,1,1,0,0,2, ,1, ,1, ,6
575,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,BERBISA,Removed,Male,58,Adult education or 1 year of education,1,1,,1,1,1,9.69,39.42,03082021,3,31,1,Removed,Removed,Removed,0,0, ,,1,6,0,2,,2,0,,,,2, ,1, ,1, ,6
576,AMHARA,NORTH SHOA,BASONA WERANA,BIRBIRSA,Gebreal,Removed,Male,44,None/Illiterate,1,1,,1,1,1,9.69,39.42,03082021,3,31,1,Removed,Removed,Removed,Removed,0, ,,1,4,1,2,0,2,0,,,,2, ,1, ,1, ,4
943,AMHARA,NORTH SHOA,ANGOLELANA TERA,GOLBANA KAFERO,Asiyona (Kutir 2),Removed,Male,64,Adult education or 1 year of education,1,1,,1,1,1,9.31,39.30,12082021,3,33,1,Removed,Removed,0,0,0, ,,1,4,0,0,,,0,,,,2, ,1, ,1, ,4
944,AMHARA,NORTH SHOA,ANGOLELANA TERA,GOLBANA KAFERO,Galecha,Removed,Male,76,Adult education or 1 year of education,1,1,,1,1,1,9.32,39.30,10082021,3,36,1,Removed,Removed,0,0,0, ,,1,3,0,0,,,0,,,,1, ,1, ,1, ,3
945,AMHARA,NORTH SHOA,ANGOLELANA TERA,GOLBANA KAFERO,Gelano,Removed,Male,48,8,1,1,,1,1,1,9.33,39.30,10082021,3,36,1,Removed,Removed,0,0,0, ,,1,6,0,0,,,0,,,,2, ,1, ,1, ,6
946,AMHARA,NORTH SHOA,ANGOLELANA TERA,GOLBANA KAFERO,Kereba,Removed,Male,68,None/Illiterate,1,1,,1,1,1,9.34,39.33,10082021,3,31,1,Removed,Removed,Removed,0,0, ,,1,2,0,0,,,1,1,0,0,2, ,1, ,1, ,2
948,AMHARA,NORTH SHOA,ANGOLELANA TERA,GOLBANA KAFERO,Burrie,Removed,Male,64,Adult education or 1 year of education,1,1,,1,1,1,9.33,39.33,10082021,3,3,1,Removed,Removed,0,0,0, ,,1,5,1,1,1,1,0,,,,2, ,1, ,1, ,5
