HH_Id,Last_Seasn_OwnWSeed_M,SL_No_M,Variety_Name_M,Store_Seperate_M,Seed_Storage_Place_M,Seed_Storage_Place_Othr_M,Seed_Storage_Prob_M,Seed_Storage_Prob_Othr_M,Seed_Disease_Prob_M,Seed_Disease_Prob_M,Seed_Replace_freq_M,SeedVar_Unique_Chara_M,SeedVar_Unique_Chara_Othr_M,Additional_Variety_M
4013,0,, ,,, ,, ,, ,,, ,
4014,1,1,KEKEBA,0,1, ,3, ,1, ,1,3, ,2
4015,1,1,KEKEBA,1,1, ,3, ,1, ,1,3, ,2
4016,1,1,KEKEBA,1,1, ,2, ,1, ,4,1, ,2
4017,1,1,kekeba,1,1, ,2, ,1, ,1,1, ,2
4018,1,1,KEKEBA,1,1, ,2, ,1, ,1,3, ,2
4019,1,1,KeKeba,1,1, ,3, ,2, ,3,1, ,2
4020,1,1,KEKEBA,1,1, ,2, ,5, ,3,1, ,2
4021,,, ,,, ,, ,, ,,, ,
4022,1,1,KEKEBA,1,1, ,2, ,1, ,2,1, ,2
4023,1,1,SEWMEHON,1,1, ,1, ,1, ,2,1, ,2
4024,0,, ,,, ,, ,, ,,, ,
4025,0,, ,,, ,, ,, ,,, ,
4026,,, ,,, ,, ,, ,,, ,
4027,1,1,DANFE,0,1, ,1, ,1, ,3,1, ,2
4028,1,1,DANFE,1,1, ,3, ,1, ,4,1, ,2
4029,1,1,DIGALO,1,1, ,3, ,1, ,1,3, ,2
4030,0,, ,,, ,, ,, ,,, ,
4031,0,, ,,, ,, ,, ,,, ,
4032,0,, ,,, ,, ,, ,,, ,
4033,0,, ,,, ,, ,, ,,, ,
4034,0,, ,,, ,, ,, ,,, ,
4035,1,1,DANFE,1,1, ,3, ,1, ,3,1, ,2
4036,,, ,,, ,, ,, ,,, ,
4037,0,, ,,, ,, ,, ,,, ,
4038,,, ,,, ,, ,, ,,, ,
4039,1,1,DANFE,1,1, ,3, ,1, ,2,1, ,2
4040,0,, ,,, ,, ,, ,,, ,
4041,0,, ,,, ,, ,, ,,, ,
4042,1,1,DSNDA,1,1, ,1, ,1, ,5,1, ,2
4043,1,1,DENDEA,1,1, ,3, ,1, ,1,3, ,2
4044,1,1,DENDEHA,1,1, ,3, ,1, ,3,1, ,2
4045,0,, ,,, ,, ,, ,,, ,
4046,0,, ,,, ,, ,, ,,, ,
4047,1,1,Dendea,1,1, ,3, ,2, ,4,1, ,2
4048,1,1,DENDEA,1,1, ,3, ,1, ,3,1, ,2
98,0,, ,,, ,, ,, ,,, ,
99,0,, ,,, ,, ,, ,,, ,
100,0,, ,,, ,, ,, ,,, ,
101,0,, ,,, ,, ,, ,,, ,
102,0,, ,,, ,, ,, ,,, ,
103,0,, ,,, ,, ,, ,,, ,
260,1,1,DENDEA,0,1, ,1, ,1, ,3,1, ,2
261,0,, ,,, ,, ,, ,,, ,
262,,, ,,, ,, ,, ,,, ,
263,1,1,DENDEA,0,1, ,1, ,1, ,5,1, ,2
264,1,1,SHEMAME,1,1, ,1, ,1, ,1,1, ,2
266,0,, ,,, ,, ,, ,,, ,
267,1,1,SHAMAME,1,1, ,1, ,1, ,1,3, ,2
269,0,, ,,, ,, ,, ,,, ,
270,0,, ,,, ,, ,, ,,, ,
271,1,1,DEANDEA,1,1, ,1, ,1, ,1,2, ,2
272,0,, ,,, ,, ,, ,,, ,
273,1,1,SHAMAME,1,1, ,1, ,1, ,1,3, ,2
275,1,1,DIGALU,0,1, ,1, ,1, ,4,3, ,2
276,1,1,DEANDEA,1,1, ,3, ,1, ,1,1, ,2
277,,, ,,, ,, ,, ,,, ,
278,1,1,KOMOCHERI,1,1, ,1, ,1, ,1,1, ,2
279,1,1,DIGELU,1,1, ,1, ,1, ,1,1, ,2
280,1,1,Digelu,1,1, ,1, ,1, ,1,1, ,2
281,1,1,HIDASIE,1,1, ,1, ,1, ,1,1, ,2
282,1,1,Digelu,1,1, ,1, ,1, ,1,1, ,2
283,1,1,HIDASSIE,1,1, ,1, ,1, ,1,1, ,2
285,0,, ,,, ,, ,, ,,, ,
286,0,, ,,, ,, ,, ,,, ,
287,,, ,,, ,, ,, ,,, ,
289,0,, ,,, ,, ,, ,,, ,
290,0,, ,,, ,, ,, ,,, ,
292,1,1,DIGELU,1,1, ,1, ,1, ,1,1, ,2
293,0,, ,,, ,, ,, ,,, ,
295,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
296,1,1,kakaba,1,1, ,3, ,1, ,1,6, ,2
297,1,1,kakaba,1,1, ,3, ,1, ,1,1, ,2
299,0,, ,,, ,, ,, ,,, ,
301,1,1,MANGUDO,1,1, ,1, ,1, ,3,1, ,2
302,1,1,DENDEA,0,1, ,1, ,1, ,2,1, ,2
303,,, ,,, ,, ,, ,,, ,
304,1,1,Mangudo,1,1, ,1, ,1, ,1,1, ,2
305,1,1,Danda'a,1,1, ,1, ,1, ,1,1, ,2
307,1,1,Manigudo,1,1, ,3, ,1, ,1,5, ,2
308,1,1,DENDEA,1,1, ,1, ,1, ,3,1, ,2
309,0,, ,,, ,, ,, ,,, ,
310,0,, ,,, ,, ,, ,,, ,
311,1,1,Danda'a,1,1, ,1, ,1, ,1,1, ,2
490,,, ,,, ,, ,, ,,, ,
491,0,, ,,, ,, ,, ,,, ,
492,0,, ,,, ,, ,, ,,, ,
493,0,, ,,, ,, ,, ,,, ,
494,0,, ,,, ,, ,, ,,, ,
518,0,, ,,, ,, ,, ,,, ,
520,,, ,,, ,, ,, ,,, ,
521,0,, ,,, ,, ,, ,,, ,
522,0,, ,,, ,, ,, ,,, ,
523,0,, ,,, ,, ,, ,,, ,
577,0,, ,,, ,, ,, ,,, ,
580,0,, ,,, ,, ,, ,,, ,
581,0,, ,,, ,, ,, ,,, ,
583,1,1,DENDA'A,1,1, ,1, ,1, ,1,1, ,2
584,0,, ,,, ,, ,, ,,, ,
585,0,, ,,, ,, ,, ,,, ,
586,1,1,DIGELU,0,1, ,1, ,1, ,1,1, ,2
587,1,1,KUBSA,1,1, ,1, ,1, ,1,1, ,2
588,0,, ,,, ,, ,, ,,, ,
589,1,1,DIGELU,1,1, ,1, ,1, ,1,1, ,2
590,1,1,DENDA'A,1,1, ,1, ,1, ,1,1, ,2
591,0,, ,,, ,, ,, ,,, ,
718,1,1,DENDEA,1,1, ,1, ,1, ,4,1, ,2
719,0,, ,,, ,, ,, ,,, ,
720,0,, ,,, ,, ,, ,,, ,
721,1,1,DE NDA'A,0,1, ,1, ,1, ,1,1, ,2
722,0,, ,,, ,, ,, ,,, ,
723,0,, ,,, ,, ,, ,,, ,
724,0,, ,,, ,, ,, ,,, ,
725,0,, ,,, ,, ,, ,,, ,
726,0,, ,,, ,, ,, ,,, ,
727,0,, ,,, ,, ,, ,,, ,
728,1,1,DENDEA,0,1, ,1, ,1, ,4,1, ,2
729,1,1,DENDA''A,0,1, ,1, ,1, ,1,2, ,2
801,0,, ,,, ,, ,, ,,, ,
802,,, ,,, ,, ,, ,,, ,
803,1,1,DENDA'A,1,1, ,1, ,1, ,1,1, ,2
805,1,1,KAKEBA,1,1, ,3, ,1, ,1,1, ,2
806,0,, ,,, ,, ,, ,,, ,
807,0,, ,,, ,, ,, ,,, ,
808,,, ,,, ,, ,, ,,, ,
809,1,1,KEKEBA,0,1, ,1, ,1, ,1,1, ,2
810,0,, ,,, ,, ,, ,,, ,
812,0,, ,,, ,, ,, ,,, ,
813,0,, ,,, ,, ,, ,,, ,
814,1,1,DEANDEA,1,1, ,1, ,1, ,1,1, ,2
816,0,, ,,, ,, ,, ,,, ,
1158,1,1,DENDEA,1,1, ,1, ,1, ,2,1, ,2
1159,,, ,,, ,, ,, ,,, ,
1163,0,, ,,, ,, ,, ,,, ,
