HH_Id,Info_Src_Name,Info_Access_Yn,NoInfo_Access_Rsn,NoInfo_Access_Rsn_Othr,Info_Access_Decision
1052,2,3,1, ,
1052,3,3,1, ,
1052,4,3,1, ,
1052,5,3,1, ,
1052,6,3,1, ,
1055,1,3,1, ,
1055,2,3,1, ,
1055,3,3,1, ,
1055,4,3,1, ,
1055,5,3,3, ,
1055,6,3,1, ,
1056,1,1,, ,1
1056,2,3,3, ,
1056,3,1,, ,1
1056,4,3,2, ,
1056,5,3,2, ,
1056,6,3,3, ,
1057,1,1,, ,5
1057,2,3,3, ,
1057,3,2,, ,2
1057,4,3,3, ,
1057,5,3,2, ,
1057,6,2,, ,2
1058,1,1,, ,2
1058,2,3,3, ,
1058,3,1,, ,2
1058,4,3,2, ,
1058,5,3,2, ,
1058,6,3,2, ,
1059,1,1,, ,5
1059,2,2,, ,1
1059,3,1,, ,1
1059,4,3,2, ,
1059,5,2,, ,5
1059,6,2,, ,5
1060,1,3,3, ,
1060,2,3,1, ,
1060,3,3,1, ,
1060,4,3,1, ,
1060,5,3,1, ,
1060,6,3,1, ,
1117,1,1,, ,2
1117,2,3,3, ,
1117,3,1,, ,2
1117,4,3,1, ,
1117,5,3,2, ,
1117,6,3,2, ,
1118,1,1,, ,1
1118,2,1,, ,1
1118,3,1,, ,1
1118,4,3,2, ,
1118,5,2,, ,1
1118,6,3,1, ,
1120,1,1,, ,2
1120,2,1,, ,2
1120,3,1,, ,2
1120,4,3,2, ,
1120,5,3,2, ,
1120,6,3,2, ,
1121,1,1,, ,2
1121,2,1,, ,2
1121,3,1,, ,2
1121,4,99,, ,
1121,5,1,, ,2
1121,6,99,, ,
1122,1,2,, ,5
1122,2,3,1, ,
1122,3,3,1, ,
1122,4,3,1, ,
1122,5,3,1, ,
1122,6,3,1, ,
1124,1,3,3, ,
1124,2,3,3, ,
1124,3,3,3, ,
1124,4,3,1, ,
1124,5,3,3, ,
1124,6,3,1, ,
1127,1,2,, ,5
1127,2,3,1, ,
1127,3,3,1, ,
1127,4,3,1, ,
1127,5,3,1, ,
1127,6,3,1, ,
1131,1,3,3, ,
1131,2,3,3, ,
1131,3,3,3, ,
1131,4,3,1, ,
1131,5,3,3, ,
1131,6,3,1, ,
1344,1,1,, ,2
1344,2,1,, ,2
1344,3,1,, ,2
1344,4,1,, ,5
1344,5,1,, ,2
1344,6,99,, ,
1346,1,3,1, ,
1346,2,3,1, ,
1346,3,3,1, ,
1346,4,3,1, ,
1346,5,3,1, ,
1346,6,3,1, ,
1347,1,2,, ,1
1347,2,3,3, ,
1347,3,3,1, ,
1347,4,3,2, ,
1347,5,3,1, ,
1347,6,3,3, ,
1349,1,2,, ,5
1349,2,3,1, ,
1349,3,3,1, ,
1349,4,3,1, ,
1349,5,3,1, ,
1349,6,3,1, ,
1350,1,2,, ,2
1350,2,99,, ,
1350,3,99,, ,
1350,4,99,, ,
1350,5,99,, ,
1350,6,3,2, ,
1352,1,1,, ,1
1352,2,3,1, ,
1352,3,2,, ,1
1352,4,3,2, ,
1352,5,2,, ,1
1352,6,99,, ,
1354,1,1,, ,2
1354,2,1,, ,2
1354,3,1,, ,2
1354,4,1,, ,5
1354,5,99,, ,
1354,6,99,, ,
1356,1,1,, ,2
1356,2,3,3, ,
1356,3,3,3, ,
1356,4,3,1, ,
1356,5,3,2, ,
1356,6,3,3, ,
1357,1,2,, ,5
1357,2,2,, ,5
1357,3,2,, ,5
1357,4,3,1, ,
1357,5,3,1, ,
1357,6,3,1, ,
1358,1,2,, ,2
1358,2,3,2, ,
1358,3,3,3, ,
1358,4,3,3, ,
1358,5,2,, ,2
1358,6,3,2, ,
1359,1,3,3, ,
1359,2,3,1, ,
1359,3,3,2, ,
1359,4,3,3, ,
1359,5,3,1, ,
1359,6,3,1, ,
1379,1,2,, ,5
1379,2,3,1, ,
1379,3,3,1, ,
1379,4,3,2, ,
1379,5,3,1, ,
1379,6,3,1, ,
1380,1,99,, ,
1380,2,99,, ,
1380,3,99,, ,
1380,4,99,, ,
1380,5,99,, ,
1380,6,99,, ,
1381,1,2,, ,1
1381,2,2,, ,1
1381,3,2,, ,1
1381,4,3,1, ,
1381,5,3,1, ,
1381,6,3,1, ,
1382,1,1,, ,2
1382,2,1,, ,2
1382,3,1,, ,2
1382,4,3,1, ,
1382,5,3,2, ,
1382,6,3,3, ,
1383,1,2,, ,2
1383,2,3,1, ,
1383,3,3,1, ,
1383,4,3,2, ,
1383,5,3,1, ,
1383,6,3,1, ,
1385,1,1,, ,3
1385,2,1,, ,3
1385,3,1,, ,3
1385,4,99,, ,
1385,5,99,, ,
1385,6,99,, ,
1386,1,1,, ,2
1386,2,1,, ,2
1386,3,1,, ,2
1386,4,99,, ,
1386,5,99,, ,
1386,6,99,, ,
1387,1,3,6, ,
1387,2,3,6, ,
1387,3,3,6, ,
1387,4,3,1, ,
1387,5,3,2, ,
1387,6,3,3, ,
1388,1,1,, ,2
1388,2,2,, ,2
1388,3,3,3, ,
1388,4,3,3, ,
1388,5,3,3, ,
1388,6,3,3, ,
1390,1,1,, ,2
1390,2,1,, ,2
1390,3,1,, ,2
1390,4,99,, ,
1390,5,99,, ,
1390,6,99,, ,
1391,1,1,, ,3
1391,2,3,2, ,
1391,3,3,1, ,
1391,4,3,2, ,
1391,5,2,, ,1
1391,6,3,1, ,
1393,1,3,1, ,
1393,2,3,1, ,
1393,3,3,1, ,
1393,4,3,1, ,
1393,5,3,1, ,
1393,6,3,1, ,
1394,1,3,1, ,
1394,2,3,1, ,
1394,3,3,1, ,
1394,4,3,1, ,
1394,5,3,1, ,
1394,6,3,1, ,
1396,1,3,1, ,
1396,2,3,1, ,
1396,3,3,1, ,
1396,4,3,1, ,
1396,5,3,1, ,
1396,6,3,1, ,
1397,1,2,, ,5
1397,2,3,1, ,
1397,3,3,1, ,
1397,4,3,1, ,
1397,5,3,1, ,
1397,6,3,1, ,
1398,1,1,, ,2
1398,2,1,, ,2
1398,3,99,, ,
1398,4,99,, ,
1398,5,99,, ,
1398,6,99,, ,
1399,1,1,, ,2
1399,2,2,, ,2
1399,3,1,, ,2
1399,4,3,1, ,
1399,5,3,1, ,
1399,6,3,3, ,
1400,1,1,, ,2
1400,2,1,, ,2
1400,3,1,, ,2
1400,4,3,1, ,
1400,5,3,3, ,
1400,6,3,3, ,
1502,1,1,, ,2
1502,2,2,, ,2
1502,3,3,1, ,
1502,4,3,2, ,
1502,5,2,, ,2
1502,6,3,2, ,
1504,1,2,, ,1
1504,2,2,, ,1
1504,3,2,, ,1
1504,4,3,1, ,
1504,5,3,1, ,
1504,6,3,1, ,
1505,1,1,, ,2
1505,2,1,, ,2
1505,3,1,, ,2
1505,4,3,1, ,
1505,5,3,2, ,
1505,6,3,3, ,
1506,1,1,, ,2
1506,2,1,, ,2
1506,3,1,, ,2
1506,4,3,2, ,
1506,5,3,2, ,
1506,6,3,3, ,
1507,1,1,, ,2
1507,2,3,2, ,
1507,3,2,, ,2
1507,4,3,1, ,
1507,5,3,1, ,
1507,6,3,1, ,
1508,1,2,, ,1
1508,2,3,1, ,
1508,3,3,1, ,
1508,4,3,1, ,
1508,5,2,, ,5
1508,6,2,, ,5
1509,1,3,1, ,
1509,2,3,1, ,
1509,3,3,1, ,
1509,4,3,1, ,
1509,5,3,1, ,
1509,6,3,1, ,
1559,1,1,, ,2
1559,2,3,3, ,
1559,3,1,, ,2
1559,4,3,3, ,
1559,5,3,3, ,
1559,6,3,3, ,
1561,1,1,, ,2
1561,2,1,, ,2
1561,3,1,, ,2
1561,4,3,3, ,
1561,5,3,2, ,
1561,6,3,3, ,
1562,1,2,, ,1
1562,2,1,, ,1
1562,3,3,1, ,
1562,4,3,1, ,
1562,5,1,, ,1
1562,6,3,1, ,
1563,1,3,1, ,
1563,2,3,1, ,
1563,3,3,1, ,
1563,4,3,1, ,
1563,5,3,1, ,
1563,6,3,1, ,
1895,1,3,1, ,
1895,2,3,1, ,
1895,3,3,1, ,
1895,4,3,1, ,
1895,5,3,1, ,
1895,6,3,1, ,
1897,1,1,, ,2
1897,2,1,, ,2
1897,3,1,, ,2
1897,4,99,, ,
1897,5,1,, ,2
1897,6,99,, ,
1899,1,3,1, ,
1899,2,3,1, ,
1899,3,3,1, ,
1899,4,3,1, ,
1899,5,3,1, ,
1899,6,3,1, ,
1923,1,3,6, ,
1923,2,3,6, ,
1923,3,3,6, ,
1923,4,3,6, ,
1923,5,3,6, ,
1923,6,3,6, ,
1925,1,3,1, ,
1925,2,3,1, ,
1925,3,3,1, ,
1925,4,3,1, ,
1925,5,3,1, ,
1925,6,3,1, ,
1926,1,3,1, ,
1926,2,3,1, ,
1926,3,3,1, ,
1926,4,3,1, ,
1926,5,3,1, ,
1926,6,3,1, ,
1930,1,2,, ,5
1930,2,3,2, ,
1930,3,3,2, ,
1930,4,3,2, ,
1930,5,2,, ,5
1930,6,1,, ,5
1931,1,2,, ,5
1931,2,3,2, ,
1931,3,3,2, ,
1931,4,3,2, ,
1931,5,3,2, ,
1931,6,3,6, ,
1932,1,1,, ,2
1932,2,1,, ,2
1932,3,1,, ,2
1932,4,3,2, ,
1932,5,3,3, ,
1932,6,3,3, ,
1933,1,1,, ,2
1933,2,1,, ,2
1933,3,1,, ,2
1933,4,3,3, ,
1933,5,3,3, ,
1933,6,3,3, ,
1934,1,1,, ,2
1934,2,1,, ,2
1934,3,1,, ,2
1934,4,1,, ,2
1934,5,1,, ,2
1934,6,1,, ,2
1935,1,1,, ,2
1935,2,1,, ,2
1935,3,1,, ,2
1935,4,1,, ,2
1935,5,1,, ,1
1935,6,1,, ,2
1936,1,2,, ,1
1936,2,3,2, ,
1936,3,3,1, ,
1936,4,3,2, ,
1936,5,3,1, ,
1936,6,3,1, ,
1938,1,2,, ,5
1938,2,99,, ,
1938,3,2,, ,5
1938,4,99,, ,
1938,5,3,1, ,
1938,6,3,1, ,
1942,1,2,, ,3
1942,2,1,, ,3
1942,3,3,2, ,
1942,4,3,1, ,
1942,5,2,, ,1
1942,6,1,, ,1
1944,1,1,, ,2
1944,2,3,1, ,
1944,3,2,, ,2
1944,4,3,1, ,
1944,5,3,2, ,
1944,6,3,4, ,
1945,1,1,, ,5
1945,2,1,, ,5
1945,3,99,, ,
1945,4,99,, ,
1945,5,99,, ,
1945,6,99,, ,
1947,1,2,, ,5
1947,2,3,2, ,
1947,3,3,2, ,
1947,4,3,2, ,
1947,5,3,3, ,
1947,6,3,2, ,
1949,1,1,, ,2
1949,2,2,, ,2
1949,3,1,, ,2
1949,4,3,2, ,
1949,5,1,, ,2
1949,6,1,, ,2
1950,1,2,, ,2
1950,2,2,, ,1
1950,3,2,, ,5
1950,4,3,1, ,
1950,5,2,, ,1
1950,6,1,, ,5
1951,1,2,, ,1
1951,2,3,1, ,
1951,3,2,, ,5
1951,4,3,1, ,
1951,5,3,1, ,
1951,6,3,1, ,
1952,1,2,, ,5
1952,2,2,, ,5
1952,3,3,6, ,
1952,4,3,1, ,
1952,5,3,6, ,
1952,6,3,6, ,
1953,1,1,, ,2
1953,2,2,, ,2
1953,3,1,, ,2
1953,4,3,1, ,
1953,5,1,, ,2
1953,6,1,, ,2
1954,1,1,, ,2
1954,2,1,, ,2
1954,3,1,, ,2
1954,4,3,1, ,
1954,5,3,2, ,
1954,6,3,3, ,
1955,1,1,, ,2
1955,2,1,, ,2
1955,3,1,, ,2
1955,4,3,1, ,
1955,5,3,2, ,
1955,6,3,3, ,
1957,1,1,, ,2
1957,2,1,, ,2
1957,3,1,, ,2
1957,4,99,, ,
1957,5,99,, ,
1957,6,99,, ,
1960,1,3,3, ,
1960,2,3,2, ,
1960,3,3,3, ,
1960,4,3,2, ,
1960,5,3,3, ,
1960,6,3,2, ,
1961,1,3,1, ,
1961,2,3,1, ,
1961,3,3,1, ,
1961,4,3,1, ,
1961,5,3,1, ,
1961,6,3,1, ,
1962,1,3,3, ,
1962,2,3,3, ,
1962,3,3,3, ,
1962,4,3,1, ,
1962,5,3,1, ,
1962,6,3,1, ,
1963,1,1,, ,2
1963,2,1,, ,2
1963,3,1,, ,2
1963,4,3,1, ,
1963,5,3,2, ,
1963,6,3,3, ,
1965,1,3,3, ,
1965,2,3,2, ,
1965,3,3,2, ,
1965,4,3,6, ,
1965,5,3,2, ,
1965,6,3,2, ,
1966,1,2,, ,1
1966,2,2,, ,1
1966,3,2,, ,1
1966,4,3,1, ,
1966,5,3,1, ,
1966,6,3,1, ,
1967,1,1,, ,2
1967,2,3,3, ,
1967,3,3,3, ,
1967,4,3,1, ,
1967,5,3,1, ,
1967,6,3,2, ,
1968,1,2,, ,2
1968,2,3,1, ,
1968,3,2,, ,2
1968,4,3,2, ,
1968,5,3,1, ,
1968,6,3,1, ,
1969,1,1,, ,2
1969,2,3,1, ,
1969,3,2,, ,2
1969,4,3,2, ,
1969,5,3,1, ,
1969,6,3,2, ,
1975,1,3,2, ,
1975,2,3,2, ,
1975,3,3,2, ,
1975,4,3,1, ,
1975,5,3,1, ,
1975,6,3,1, ,
1976,1,1,, ,2
1976,2,3,3, ,
1976,3,1,, ,2
1976,4,3,2, ,
1976,5,3,3, ,
1976,6,3,2, ,
1978,1,2,, ,5
1978,2,1,, ,5
1978,3,1,, ,5
1978,4,3,1, ,
1978,5,2,, ,5
1978,6,3,2, ,
1980,1,1,, ,2
1980,2,1,, ,2
1980,3,1,, ,2
1980,4,3,2, ,
1980,5,3,2, ,
1980,6,3,2, ,
1991,1,2,, ,5
1991,2,3,3, ,
1991,3,3,3, ,
1991,4,3,2, ,
1991,5,3,2, ,
1991,6,3,3, ,
1992,1,3,6, ,
1992,2,3,6, ,
1992,3,3,6, ,
1992,4,3,1, ,
1992,5,3,6, ,
1992,6,3,2, ,
1993,1,1,, ,5
1993,2,2,, ,1
1993,3,1,, ,1
1993,4,3,2, ,
1993,5,3,2, ,
1993,6,3,3, ,
1994,1,3,1, ,
1994,2,3,1, ,
