HH_Id,Food_Item,Qnt_Consumed,ETB_Value
247,12,0,
247,13,0,
247,14,0,
247,15,0,
247,16,0,
247,17,0,
247,18,0,
247,19,0,
247,20,0,
247,21,0,
247,22,0,
247,23,0,
247,24,0,
247,25,0,
247,26,0,
247,27,0,
247,28,1,190
247,29,0,
247,30,0,
247,31,150,80
247,32,0,
247,33,0,
247,34,0,
247,35,0,
247,36,0,
247,37,0,
247,38,0,
247,39,0,
247,40,0,
247,41,6,60
247,42,0,
247,43,0,
247,44,0,
247,45,0,
247,46,0,
247,47,0,
247,48,0,
247,49,0,
247,50,3,900
247,51,0,
247,52,0,
247,53,0,
247,54,0,
247,55,0,
247,56,0,
247,57,0,
247,58,0,
247,59,0,
247,60,0,
247,61,0,
247,62,0,
247,63,0,
247,64,0,
247,65,0,
247,66,0,
247,67,0,
247,68,0,
247,69,0,
247,70,0,
247,71,0,
247,72,0,
247,73,0,
247,74,0,
247,75,0,
247,76,0,
247,77,1,150
247,78,0,
247,79,0,
247,80,0,
247,81,0,
247,82,0,
247,83,0,
247,84,0,
247,85,0,
247,86,2,30
247,87,0,
247,88,0,
247,89,0,
247,90,0,
247,91,,0
247,92,,100
247,93,,0
247,94,,0
247,95,,0
247,96,,0
247,97,,0
247,98,,60
247,99,,0
247,100,,25
247,101,,0
251,1,40,800
251,2,0,
251,3,20,950
251,4,40,960
251,5,0,
251,6,0,
251,7,0,
251,8,0,
251,9,0,
251,10,5,50
251,11,0,
251,12,5,250
251,13,0,
251,14,0,
251,15,0,
251,16,0,
251,17,0,
251,18,0,
251,19,0,
251,20,0,
251,21,0,
251,22,0,
251,23,0,
251,24,0,
251,25,0,
251,26,0,
251,27,0,
251,28,0,
251,29,0,
251,30,0,
251,31,0,
251,32,0,
251,33,0,
251,34,0,
251,35,2,250
251,36,300,9999
251,37,250,9999
251,38,150,9999
251,39,0,
251,40,0,
251,41,5,60
251,42,0,
251,43,0,
251,44,4,20
251,45,0,
251,46,0,
251,47,0,
251,48,0,
251,49,0,
251,50,2,300
251,51,0,
251,52,0,
251,53,0,
251,54,0,
251,55,0,
251,56,0,
251,57,0,
251,58,0,
251,59,0,
251,60,0,
251,61,0,
251,62,0,
251,63,0,
251,64,0,
251,65,0,
251,66,0,
251,67,0,
251,68,0,
251,69,0,
251,70,10,60
251,71,0,
251,72,0,
251,73,0,
251,74,0,
251,75,0,
251,76,0,
251,77,2,250
251,78,0,
251,79,0,
251,80,0,
251,81,0,
251,82,0,
251,83,0,
251,84,0,
251,85,0,
251,86,1,18
251,87,0,
251,88,0,
251,89,0,
251,90,0,
251,91,,0
251,92,,0
251,93,,0
251,94,,25
251,95,,0
251,96,,0
251,97,,0
251,98,,50
251,99,,0
251,100,,0
251,101,,0
252,1,10,120
252,2,0,
252,3,15,570
252,4,15,270
252,5,0,
252,6,0,
252,7,5,0
252,8,0,
252,9,0,
252,10,0,
252,11,25,350
252,12,10,500
252,13,0,
252,14,0,
252,15,0,
252,16,0,
252,17,0,
252,18,0,
252,19,0,
252,20,0,
252,21,0,
252,22,5,100
