HH_Id,Info_Src_Name_M,Info_Access_Yn_M,NoInfo_Access_Rsn_M,NoInfo_Access_Rsn_Othr_M,Info_Access_Decision_M
1057,4,3,1, ,
1057,5,3,1, ,
1057,6,3,2, ,
1058,1,1,, ,2
1058,2,2,, ,1
1058,3,1,, ,2
1058,4,3,2, ,
1058,5,3,2, ,
1058,6,3,3, ,
1059,1,1,, ,5
1059,2,1,, ,5
1059,3,3,3, ,
1059,4,3,2, ,
1059,5,3,2, ,
1059,6,3,5, ,
1060,1,2,, ,1
1060,2,3,2, ,
1060,3,3,2, ,
1060,4,3,1, ,
1060,5,3,2, ,
1060,6,3,2, ,
1117,1,1,, ,1
1117,2,3,3, ,
1117,3,1,, ,2
1117,4,3,2, ,
1117,5,3,2, ,
1117,6,3,2, ,
1118,,,, ,
1120,1,1,, ,2
1120,2,1,, ,1
1120,3,1,, ,2
1120,4,3,2, ,
1120,5,3,2, ,
1120,6,3,2, ,
1121,1,1,, ,1
1121,2,1,, ,1
1121,3,1,, ,1
1121,4,99,, ,
1121,5,1,, ,1
1121,6,99,, ,
1122,1,2,, ,5
1122,2,3,1, ,
1122,3,2,, ,5
1122,4,3,1, ,
1122,5,3,2, ,
1122,6,3,1, ,
1124,,,, ,
1127,1,2,, ,1
1127,2,3,1, ,
1127,3,3,1, ,
1127,4,3,1, ,
1127,5,3,1, ,
1127,6,3,1, ,
1131,1,1,, ,1
1131,2,1,, ,1
1131,3,3,6, ,
1131,4,3,1, ,
1131,5,3,6, ,
1131,6,3,1, ,
1344,1,1,, ,1
1344,2,1,, ,1
1344,3,99,, ,
1344,4,1,, ,5
1344,5,1,, ,1
1344,6,99,, ,
1346,1,3,2, ,
1346,2,3,2, ,
1346,3,3,6, ,
1346,4,3,1, ,
1346,5,3,1, ,
1346,6,3,1, ,
1347,,,, ,
1349,1,2,, ,5
1349,2,2,, ,1
1349,3,2,, ,5
1349,4,3,1, ,
1349,5,3,1, ,
1349,6,3,1, ,
1350,1,1,, ,1
1350,2,2,, ,1
1350,3,3,6, ,
1350,4,2,, ,5
1350,5,2,, ,5
1350,6,2,, ,5
1352,1,1,, ,1
1352,2,3,1, ,
1352,3,2,, ,1
1352,4,3,2, ,
1352,5,3,1, ,
1352,6,3,2, ,
1354,1,1,, ,5
1354,2,1,, ,5
1354,3,1,, ,1
1354,4,1,, ,5
1354,5,99,, ,
1354,6,99,, ,
1356,1,1,, ,1
1356,2,3,3, ,
1356,3,1,, ,1
1356,4,3,1, ,
1356,5,3,2, ,
1356,6,3,3, ,
1357,1,2,, ,5
1357,2,2,, ,5
1357,3,2,, ,5
1357,4,3,1, ,
1357,5,3,1, ,
1357,6,3,1, ,
1358,1,1,, ,1
1358,2,3,2, ,
1358,3,3,1, ,
1358,4,3,3, ,
1358,5,2,, ,1
1358,6,3,2, ,
1359,1,1,, ,1
1359,2,1,, ,1
1359,3,3,1, ,
1359,4,3,1, ,
1359,5,3,3, ,
1359,6,3,1, ,
1379,1,2,, ,1
1379,2,3,1, ,
1379,3,3,1, ,
1379,4,3,2, ,
