HH_Id,New_Var_Last5Yrs_Yn_M,Num_Cult_Variety_M,SL_No_M,Variety_Name_M,VarSeed_Src_M,VarSeed_Src_Othr_M,HowVar_Acquire_M,HowVar_Acquire_Othr_M,When_First_Grwn_M,Still_Grwng_Yn_M,Still_Grwng_Why_M,Still_Grwng_Why_Othr_M,NotStill_Grwng_Why_M,NotStill_Grwng_WhyOthr_M
1975,0,,, ,, ,, ,,,, ,, 
1976,0,,, ,, ,, ,,,, ,, 
1978,1,2,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
1980,0,,, ,, ,, ,,,, ,, 
1991,0,,, ,, ,, ,,,, ,, 
1992,0,,, ,, ,, ,,,, ,, 
1993,0,,, ,, ,, ,,,, ,, 
1994,1,2,1,denfe,2, ,2, ,2010,0,, ,3, 
1994,1,2,2,kekeba,6, ,4, ,2011,1,3, ,, 
1995,0,,, ,, ,, ,,,, ,, 
1996,0,,, ,, ,, ,,,, ,, 
1997,0,,, ,, ,, ,,,, ,, 
1999,0,,, ,, ,, ,,,, ,, 
2000,1,1,1,DANFE,3, ,4, ,2009,0,, ,5, 
2020,0,,, ,, ,, ,,,, ,, 
2021,0,,, ,, ,, ,,,, ,, 
2023,0,,, ,, ,, ,,,, ,, 
2025,0,,, ,, ,, ,,,, ,, 
2026,0,,, ,, ,, ,,,, ,, 
2027,0,,, ,, ,, ,,,, ,, 
2031,0,,, ,, ,, ,,,, ,, 
2032,0,,, ,, ,, ,,,, ,, 
2033,0,,, ,, ,, ,,,, ,, 
2085,0,,, ,, ,, ,,,, ,, 
2086,0,,, ,, ,, ,,,, ,, 
2088,0,,, ,, ,, ,,,, ,, 
2089,0,,, ,, ,, ,,,, ,, 
2093,0,,, ,, ,, ,,,, ,, 
2094,0,,, ,, ,, ,,,, ,, 
2095,0,,, ,, ,, ,,,, ,, 
2096,0,,, ,, ,, ,,,, ,, 
2097,0,,, ,, ,, ,,,, ,, 
2098,0,,, ,, ,, ,,,, ,, 
2099,0,,, ,, ,, ,,,, ,, 
4001,1,1,1,kekeba,3, ,4, ,2009,1,2, ,, 
4002,0,,, ,, ,, ,,,, ,, 
4003,0,,, ,, ,, ,,,, ,, 
4004,0,,, ,, ,, ,,,, ,, 
4005,0,,, ,, ,, ,,,, ,, 
4006,0,,, ,, ,, ,,,, ,, 
4007,1,2,1,DANFE,6, ,4, ,2011,1,2, ,, 
4008,0,,, ,, ,, ,,,, ,, 
4009,0,,, ,, ,, ,,,, ,, 
4010,0,,, ,, ,, ,,,, ,, 
4011,0,,, ,, ,, ,,,, ,, 
4012,0,,, ,, ,, ,,,, ,, 
4013,1,1,1,KEKEBA,6, ,4, ,2010,1,1, ,, 
4014,0,,, ,, ,, ,,,, ,, 
4015,0,,, ,, ,, ,,,, ,, 
4016,0,,, ,, ,, ,,,, ,, 
4017,0,,, ,, ,, ,,,, ,, 
4018,0,,, ,, ,, ,,,, ,, 
4019,0,,, ,, ,, ,,,, ,, 
4020,0,,, ,, ,, ,,,, ,, 
4021,0,,, ,, ,, ,,,, ,, 
4022,0,,, ,, ,, ,,,, ,, 
4023,1,2,1,SEWMEHON,3, ,4, ,2011,1,1, ,, 
4024,1,1,1,KEKEBA,6, ,4, ,2009,1,2, ,, 
4025,0,,, ,, ,, ,,,, ,, 
4026,0,,, ,, ,, ,,,, ,, 
4027,1,1,1,DANFE,2, ,2, ,2009,1,2, ,, 
4028,0,,, ,, ,, ,,,, ,, 
4029,0,,, ,, ,, ,,,, ,, 
4030,0,,, ,, ,, ,,,, ,, 
4031,0,,, ,, ,, ,,,, ,, 
4032,0,,, ,, ,, ,,,, ,, 
4033,1,1,1,DIDIA,3, ,4, ,2009,0,, ,3, 
4034,0,,, ,, ,, ,,,, ,, 
4035,1,1,1,DASHEN,6, ,9, ,2009,0,, ,1, 
4036,1,1,1,DASHEN,2, ,2, ,2010,0,, ,5, 
4037,0,,, ,, ,, ,,,, ,, 
4038,0,,, ,, ,, ,,,, ,, 
4039,0,,, ,, ,, ,,,, ,, 
4040,1,1,1,DASHEN,6, ,4, ,2010,0,, ,1, 
4041,1,1,1,DANFE,3, ,4, ,2010,1,2, ,, 
4042,0,,, ,, ,, ,,,, ,, 
4043,0,,, ,, ,, ,,,, ,, 
4044,1,1,1,KUBESA,4, ,4, ,2009,0,, ,5, 
4045,1,2,1,BAKEGE,4, ,4, ,2009,0,, ,5, 
4045,1,2,2,DASHEN,4, ,4, ,2010,0,, ,5, 
4046,0,,, ,, ,, ,,,, ,, 
4047,0,,, ,, ,, ,,,, ,, 
4048,0,,, ,, ,, ,,,, ,, 
98,0,,, ,, ,, ,,,, ,, 
99,1,1,1,HULUKA,6, ,4, ,2011,1,1, ,, 
100,1,2,1,HUKUKA,6, ,4, ,2010,0,, ,1, 
100,1,2,2,HIDASE,2, ,4, ,2011,1,1, ,, 
101,1,1,1,HULUKA,6, ,4, ,2009,0,, ,1, 
102,1,1,1,HULUKA,6, ,4, ,2010,1,1, ,, 
103,0,,, ,, ,, ,,,, ,, 
260,1,2,1,DIGALU,2, ,4, ,2009,0,, ,5, 
260,1,2,2,DENDEA,2, ,4, ,2011,1,1, ,, 
261,0,,, ,, ,, ,,,, ,, 
262,0,,, ,, ,, ,,,, ,, 
263,0,,, ,, ,, ,,,, ,, 
264,0,,, ,, ,, ,,,, ,, 
266,0,,, ,, ,, ,,,, ,, 
267,0,,, ,, ,, ,,,, ,, 
269,0,,, ,, ,, ,,,, ,, 
270,0,,, ,, ,, ,,,, ,, 
271,0,,, ,, ,, ,,,, ,, 
272,0,,, ,, ,, ,,,, ,, 
273,0,,, ,, ,, ,,,, ,, 
275,1,1,1,DIGALU,2, ,4, ,2010,1,1, ,, 
276,0,,, ,, ,, ,,,, ,, 
277,0,,, ,, ,, ,,,, ,, 
278,0,,, ,, ,, ,,,, ,, 
279,0,,, ,, ,, ,,,, ,, 
280,1,2,1,shorima,4, ,4, ,2009,0,, ,3, 
280,1,2,2,Digelu,3, ,4, ,2010,1,2, ,, 
281,0,,, ,, ,, ,,,, ,, 
282,1,2,1,Shorima,4, ,4, ,2009,0,, ,3, 
282,1,2,2,Digelu,3, ,4, ,2011,1,2, ,, 
283,0,,, ,, ,, ,,,, ,, 
285,0,,, ,, ,, ,,,, ,, 
286,1,2,1,Hidase,4, ,4, ,2009,0,, ,1, 
286,1,2,2,Komachare,4, ,4, ,2011,1,2, ,, 
287,0,,, ,, ,, ,,,, ,, 
289,0,,, ,, ,, ,,,, ,, 
290,0,,, ,, ,, ,,,, ,, 
292,0,,, ,, ,, ,,,, ,, 
293,0,,, ,, ,, ,,,, ,, 
295,0,,, ,, ,, ,,,, ,, 
296,1,3,1,Manigudo,3, ,4, ,2010,0,, ,5, 
296,1,3,2,Danidea,3, ,4, ,2011,0,, ,5, 
296,1,3,3,kakaba,3, ,4, ,2009,1,2, ,, 
297,1,2,1,Danida,4, ,4, ,2009,0,, ,1, 
297,1,2,2,kakaba,3, ,4, ,2011,1,2, ,, 
299,1,2,1,Kakaba,3, ,4, ,2009,0,, ,5, 
299,1,2,2,Danda'a,3, ,4, ,2012,1,2, ,, 
301,1,1,1,KEKEBA,6, ,4, ,2010,1,2, ,, 
302,0,,, ,, ,, ,,,, ,, 
303,1,3,1,Danidea,2, ,2, ,2009,0,, ,5, 
303,1,3,2,Manigudo,3, ,4, ,2010,0,, ,5, 
303,1,3,3,Kakaba,3, ,4, ,2011,1,2, ,, 
304,1,2,1,Danda'a,3, ,4, ,2009,0,, ,5, 
304,1,2,2,Mangudo,3, ,4, ,2010,1,2, ,, 
305,0,,, ,, ,, ,,,, ,, 
307,1,3,1,Hidase,4, ,4, ,2009,0,, ,5, 
307,1,3,2,kakaba,4, ,4, ,2010,0,, ,1, 
307,1,3,3,Manigudo,3, ,4, ,2011,1,2, ,, 
308,1,2,1,DENDEA,6, ,4, ,2010,1,2, ,, 
