HH_Id,Assets_Info,Aminity_Elec,Aminity_PipeWater,Aminity_CookGas,Aminity_Internet,Aminity_Landline,Aminity_Mobile,Aminity_PrivToilet,Aminity_RoadAcc,Aminity_StrongWalls,Aminity_ConcRoof,Aminity_ConcFloor,Aminity_Fenced,Aminity_Ownership
4016,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4017,1,0,1,0,0,0,1,1,1,0,0,0,1,1
4018,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4019,1,0,1,0,0,0,1,1,0,0,0,0,1,1
4020,1,0,1,0,0,0,1,1,1,0,0,0,1,1
4021,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4022,1,0,1,0,0,0,0,1,1,0,0,0,0,1
4023,1,0,1,0,0,0,0,1,0,0,0,0,0,1
4024,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4025,1,0,0,0,0,0,1,1,1,0,0,0,0,1
4026,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4027,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4028,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4029,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4030,1,0,1,0,0,0,0,0,1,0,0,0,0,1
4031,1,0,1,0,0,0,0,1,1,0,0,0,1,1
4032,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4033,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4034,1,0,1,0,0,0,1,1,1,0,0,0,1,1
4035,1,0,1,0,0,0,0,1,1,0,0,0,1,1
4036,1,0,1,0,0,0,1,1,0,0,0,0,1,1
4037,1,1,1,0,0,0,1,1,1,0,0,0,0,1
4038,1,0,0,0,0,0,0,1,0,0,0,0,1,1
4039,1,0,0,0,0,0,1,1,1,0,0,0,1,1
4040,1,0,1,0,0,0,0,1,1,0,0,0,1,1
4041,1,0,1,0,0,0,0,1,0,0,0,0,0,1
4042,1,1,1,0,0,0,0,1,0,1,1,1,1,1
4043,1,1,0,0,0,0,1,1,1,0,0,0,0,1
4044,1,0,1,0,0,0,1,1,1,0,0,0,1,1
4045,1,0,0,0,0,0,1,0,0,0,0,0,1,1
4046,1,0,1,0,0,0,1,1,0,0,0,0,0,1
