HH_Id,HH_Member_Roster,HH_Member_Id,HH_Member_Name,HH_Mem_Gender,HH_Mem_Age,HHH_Reln,Marital_Status,Primary_Occpn,Primary_Occpn_Othr,Month_Worked,Working_Hrs_Week,Sec_Occpn,Sec_Occpn_Othr,Month_Worked,Working_Hrs_Week,Read_Write_Yn,Education,Education_Othr,Decision_Involvment
570,3,2,Removed,1,50,2,1,1, ,12,70,2, ,6,30,0,0, ,2
570,3,3,Removed,2,19,3,2,10, ,,,2, ,6,25,1,11, ,1
571,4,1,Removed,2,66,1,1,2, ,1,60,99, ,,,1,0, ,3
571,4,2,Removed,1,40,2,1,1, ,12,74,99, ,,,0,0, ,1
571,4,3,Removed,1,18,3,2,2, ,11,55,99, ,,,1,6, ,3
571,4,4,Removed,2,16,3,2,10, ,,,99, ,,,1,6, ,1
572,3,1,Removed,2,49,1,1,2, ,12,32,99, ,,,1,2, ,4
572,3,2,Removed,1,40,2,1,1, ,12,49,2, ,3,12,0,0, ,1
572,3,3,Removed,1,16,3,2,10, ,,,1, ,12,35,1,8, ,1
573,3,1,Removed,2,45,1,1,2, ,11,60,99, ,,,0,0, ,3
573,3,2,Removed,1,38,2,1,1, ,12,77,99, ,,,1,5, ,2
573,3,3,Removed,2,15,3,2,10, ,,,2, ,11,25,1,8, ,2
574,6,1,Removed,2,74,1,1,2, ,8,38,99, ,,,0,0, ,3
574,6,2,Removed,1,63,2,1,1, ,12,38,2, ,4,20,0,0, ,2
574,6,3,Removed,2,41,3,1,2, ,9,48,99, ,,,1,9, ,4
574,6,4,Removed,1,37,13,1,1, ,12,40,2, ,5,30,1,7, ,2
574,6,5,Removed,1,18,3,2,10, ,,,2, ,4,20,1,11, ,2
574,6,6,Removed,1,15,4,2,10, ,,,2, ,3,24,1,9, ,2
575,6,1,Removed,2,58,1,1,2, ,9,48,7, ,12,28,1,98, ,4
575,6,2,Removed,1,46,2,1,1, ,12,38,2, ,5,32,0,0, ,2
575,6,3,Removed,2,75,10,4,12, ,,,99, ,,,1,98, ,1
575,6,4,Removed,2,24,3,2,2, ,9,48,99, ,,,1,2, ,3
575,6,5,Removed,2,18,3,2,10, ,,,2, ,5,38,1,8, ,3
575,6,6,Removed,1,16,3,2,10, ,,,2, ,4,32,1,5, ,2
576,4,1,Removed,2,44,1,1,2, ,9,48,99, ,,,0,0, ,3
576,4,2,Removed,1,35,2,1,1, ,12,48,2, ,4,20,0,0, ,2
576,4,3,Removed,2,17,3,2,10, ,,,2, ,3,32,1,9, ,2
576,4,4,Removed,1,15,3,2,10, ,,,2, ,3,20,1,9, ,1
943,4,1,Removed,2,64,1,1,2, ,12,56,99, ,,,1,98, ,3
943,4,2,Removed,1,50,2,1,1, ,12,70,99, ,,,0,0, ,2
943,4,3,Removed,2,28,3,2,2, ,12,70,99, ,,,1,7, ,1
943,4,4,Removed,2,17,3,1,10, ,,,2, ,3,35,1,10, ,1
944,3,1,Removed,2,76,1,1,2, ,12,60,99, ,,,0,0, ,3
944,3,2,Removed,1,71,2,1,1, ,12,70,99, ,,,0,0, ,2
944,3,3,Removed,1,20,3,2,10, ,,,1, ,5,20,1,11, ,1
945,6,1,Removed,2,48,1,1,2, ,10,50,99, ,,,1,8, ,3
945,6,2,Removed,1,45,2,1,1, ,12,70,2, ,5,20,0,0, ,2
945,6,3,Removed,1,28,3,2,4, ,12,48,1, ,6,12,1,10, ,1
945,6,4,Removed,1,26,3,2,1, ,12,70,2, ,6,30,1,10, ,1
945,6,5,Removed,1,23,3,2,8, ,12,48,1, ,4,20,1,10, ,1
945,6,6,Removed,1,20,3,2,8, ,10,40,1, ,5,20,1,10, ,1
946,2,1,Removed,2,68,1,1,2, ,9,48,99, ,,,0,0, ,3
946,2,2,Removed,1,55,2,1,1, ,12,30,2, ,5,20,0,0, ,2
948,5,1,Removed,2,64,1,1,2, ,12,40,99, ,,,0,98, ,3
948,5,2,Removed,1,38,2,1,1, ,12,49,2, ,5,12,0,97, ,2
948,5,3,Removed,2,29,3,2,2, ,12,28,4, ,2,16,1,7, ,2
948,5,4,Removed,1,27,3,2,1, ,12,35,2, ,5,18,1,97, ,1
948,5,5,Removed,1,16,3,2,1, ,12,28,2, ,5,18,1,6, ,1
949,3,1,Removed,2,33,1,1,2, ,10,48,99, ,,,1,8, ,3
949,3,2,Removed,1,32,2,1,1, ,12,24,2, ,4,24,1,97, ,2
949,3,3,Removed,2,18,6,2,10, ,,,2, ,6,24,1,8, ,1
951,3,1,Removed,2,41,1,1,2, ,12,64,99, ,,,1,2, ,3
951,3,2,Removed,1,33,2,1,1, ,12,64,2, ,3,35,1,7, ,2
951,3,3,Removed,2,15,3,2,10, ,,,2, ,3,28,1,8, ,1
952,4,1,Removed,2,60,1,1,2, ,10,35,3, ,12,21,0,0, ,3
952,4,2,Removed,1,45,2,1,1, ,12,42,2, ,3,20,0,0, ,2
952,4,3,Removed,2,20,3,2,2, ,10,42,99, ,,,1,9, ,2
952,4,4,Removed,2,15,3,2,10, ,,,2, ,10,25,1,7, ,2
956,3,1,Removed,2,76,1,1,2, ,10,40,99, ,,,1,6, ,2
956,3,2,Removed,1,65,2,1,1, ,12,35,99, ,,,0,0, ,1
956,3,3,Removed,2,32,3,2,2, ,10,60,99, ,,,1,13, ,3
957,6,1,Removed,2,60,1,1,2, ,12,32,99, ,,,1,97, ,2
957,6,2,Removed,1,50,0,1,1, ,12,42,99, ,,,1,97, ,2
957,6,3,Removed,2,20,15,2,1, ,12,32,99, ,,,1,5, ,1
957,6,4,Removed,1,18,3,2,10, ,,,1, ,12,28,1,8, ,1
957,6,5,Removed,1,16,3,2,10, ,,,1, ,12,21,1,8, ,1
957,6,6,Removed,2,16,3,2,10, ,,,2, ,6,16,1,8, ,1
958,4,1,Removed,2,60,1,1,2, ,10,49,7, ,10,28,1,98, ,3
958,4,2,Removed,1,50,2,1,1, ,12,56,2, ,3,28,0,0, ,2
958,4,3,Removed,2,18,3,2,2, ,12,56,99, ,,,1,10, ,1
958,4,4,Removed,2,15,3,2,2, ,12,70,99, ,,,1,5, ,1
959,3,1,Removed,2,51,1,1,2, ,12,50,99, ,,,1,7, ,4
959,3,2,Removed,1,60,2,1,1, ,12,70,99, ,,,0,0, ,2
959,3,3,Removed,2,17,3,2,10, ,,,2, ,6,25,1,5, ,1
960,5,1,Removed,2,66,1,1,2, ,10,50,99, ,,,0,97, ,2
960,5,2,Removed,1,60,2,1,1, ,12,35,99, ,,,0,0, ,1
960,5,3,Removed,2,16,3,3,2, ,10,60,99, ,,,1,10, ,4
960,5,4,Removed,1,18,3,3,1, ,12,54,2, ,4,25,1,10, ,2
960,5,5,Removed,1,16,13,2,1, ,12,42,2, ,4,25,1,6, ,2
961,3,1,Removed,2,43,1,1,2, ,10,40,99, ,,,1,6, ,3
961,3,2,Removed,1,35,2,1,1, ,12,70,2, ,6,25,0,0, ,2
961,3,3,Removed,2,17,3,2,10, ,,,2, ,6,30,1,8, ,1
962,3,1,Removed,2,44,1,1,2, ,9,48,99, ,,,1,8, ,3
962,3,2,Removed,1,34,2,1,1, ,12,30,2, ,5,20,0,0, ,2
962,3,3,Removed,2,55,13,3,2, ,6,30,99, ,,,0,0, ,2
963,2,1,Removed,2,37,1,1,2, ,12,56,99, ,,,1,7, ,3
963,2,2,Removed,1,35,2,1,1, ,12,70,2, ,3,28,1,2, ,2
964,2,1,Removed,2,37,1,1,2, ,10,48,99, ,,,1,7, ,3
964,2,2,Removed,1,35,2,1,1, ,12,24,2, ,6,24,1,9, ,2
965,2,1,Removed,2,54,1,1,2, ,7,32,99, ,,,1,6, ,3
965,2,2,Removed,1,35,2,1,1, ,12,35,2, ,2,16,0,97, ,2
967,2,1,Removed,2,50,1,1,2, ,10,50,4, ,3,40,1,4, ,3
967,2,2,Removed,1,33,2,1,1, ,12,54,2, ,3,25,0,0, ,2
968,2,1,Removed,2,61,1,1,2, ,9,40,99, ,,,1,97, ,3
968,2,2,Removed,1,58,2,1,1, ,12,30,99, ,,,0,0, ,2
969,3,1,Removed,2,44,1,1,2, ,10,48,99, ,,,1,5, ,3
969,3,2,Removed,1,37,2,1,1, ,12,36,2, ,5,24,0,0, ,2
969,3,3,Removed,2,15,3,2,10, ,,,99, ,,,1,8, ,1
971,2,1,Removed,2,44,1,1,2, ,9,35,99, ,,,1,9, ,3
971,2,2,Removed,1,28,2,1,1, ,12,42,2, ,5,20,1,7, ,3
973,3,1,Removed,2,36,1,1,2, ,10,50,99, ,,,0,0, ,3
973,3,2,Removed,1,29,2,1,1, ,12,49,2, ,4,30,1,8, ,2
973,3,3,Removed,2,19,3,2,2, ,10,50,7, ,12,35,1,98, ,2
1047,3,1,Removed,2,38,1,1,2, ,12,70,99, ,,,0,0, ,3
1047,3,2,Removed,1,32,2,1,1, ,12,54,2, ,3,21,0,0, ,2
1047,3,3,Removed,2,15,3,2,10, ,,,2, ,3,35,1,4, ,1
1048,5,1,Removed,2,72,1,1,2, ,10,60,99, ,,,0,0, ,3
1048,5,2,Removed,1,60,2,1,1, ,12,50,99, ,,,0,0, ,2
1048,5,3,Removed,2,26,3,2,2, ,12,60,99, ,,,1,6, ,2
1048,5,4,Removed,2,23,3,2,10, ,,,99, ,,,1,11, ,2
1048,5,5,Removed,2,18,3,2,10, ,,,2, ,10,20,1,11, ,1
1049,5,1,Removed,2,76,1,1,2, ,6,24,99, ,,,0,0, ,3
1049,5,2,Removed,1,67,2,1,1, ,12,36,99, ,,,0,0, ,2
1049,5,3,Removed,1,25,3,2,11, ,,,99, ,,,1,14, ,1
1049,5,4,Removed,2,22,3,2,10, ,,,2, ,9,24,1,11, ,1
1049,5,5,Removed,1,18,3,2,10, ,,,1, ,12,24,1,9, ,1
1050,4,1,Removed,2,57,1,1,2, ,12,70,99, ,,,1,2, ,3
1050,4,2,Removed,1,50,2,1,1, ,12,64,2, ,2,35,0,0, ,2
1050,4,3,Removed,2,28,3,2,10, ,,,2, ,2,28,1,13, ,1
1050,4,4,Removed,1,16,3,2,10, ,,,1, ,5,35,1,10, ,1
1051,4,1,Removed,2,46,1,1,2, ,12,55,99, ,,,1,5, ,3
1051,4,2,Removed,1,38,2,1,1, ,12,80,2, ,5,30,0,0, ,2
1051,4,3,Removed,2,18,3,2,10, ,,,2, ,5,25,1,8, ,1
1051,4,4,Removed,2,16,3,2,10, ,,,2, ,4,25,1,5, ,1
1052,2,1,Removed,2,74,1,1,2, ,12,40,99, ,,,1,4, ,3
1052,2,2,Removed,1,50,2,1,1, ,12,40,2, ,3,25,0,0, ,2
1055,4,1,Removed,2,47,1,1,2, ,10,56,99, ,,,0,0, ,3
1055,4,2,Removed,1,36,2,1,1, ,12,70,99, ,,,0,0, ,1
