HH_Id,HH_Activity_M,Activity_Part_M,Decision_maker_Actvty_M,Influence_Decision_Actvty_M,Own_Decision_Actvty_M
951,6,1,5,2,3
951,7,1,5,2,3
952,1,1,5,3,3
952,2,1,5,3,3
952,3,1,5,3,3
952,4,1,1,3,4
952,5,1,5,3,4
952,6,1,5,3,4
952,7,1,5,3,4
956,1,1,3,2,2
956,2,1,3,2,2
956,3,1,3,2,2
956,4,1,3,2,2
956,5,1,3,2,2
956,6,1,3,2,2
956,7,1,3,2,2
957,1,1,1,3,3
957,2,1,1,3,3
957,3,1,1,3,4
957,4,1,1,3,3
957,5,1,5,3,3
957,6,1,5,3,3
957,7,1,5,3,3
958,1,1,5,2,3
958,2,1,5,2,3
958,3,1,5,2,3
958,4,1,5,2,3
958,5,1,5,2,3
958,6,1,5,2,3
958,7,1,5,2,3
959,1,1,1,3,4
959,2,1,1,3,4
959,3,1,1,3,4
959,4,1,1,3,4
959,5,1,1,3,4
959,6,1,1,3,4
959,7,1,1,3,4
960,1,1,3,2,2
960,2,1,3,2,2
960,3,1,3,1,1
960,4,1,1,3,4
960,5,1,3,2,2
960,6,0,,,
960,7,0,,,
961,1,1,5,3,4
961,2,1,5,3,4
961,3,1,5,3,4
961,4,1,5,3,4
961,5,1,5,3,4
961,6,1,5,3,4
961,7,1,5,3,4
962,1,1,2,3,3
962,2,1,2,3,4
962,3,1,2,3,3
962,4,1,2,3,3
962,5,1,2,3,3
962,6,1,2,3,3
962,7,1,2,3,3
963,1,1,5,2,3
963,2,1,5,2,3
963,3,1,5,2,3
963,4,1,5,2,3
963,5,1,5,2,3
963,6,1,5,2,3
963,7,1,5,2,3
964,1,1,1,3,3
964,2,1,1,3,3
964,3,1,1,3,3
964,4,1,1,3,3
964,5,1,1,3,3
964,6,1,1,3,3
964,7,1,1,3,3
965,1,1,1,3,4
965,2,1,1,3,3
965,3,1,1,3,4
965,4,1,1,4,4
965,5,1,1,3,4
965,6,1,1,3,3
965,7,1,5,3,3
967,1,1,1,3,4
967,2,1,1,3,4
967,3,1,1,3,4
967,4,1,1,3,4
967,5,1,1,3,3
967,6,1,1,3,3
967,7,0,,,
968,1,1,2,3,3
968,2,1,2,3,4
968,3,1,2,3,3
968,4,1,2,3,4
968,5,1,2,3,4
968,6,1,2,3,3
968,7,1,2,3,3
969,1,1,1,3,3
969,2,1,1,3,3
969,3,1,1,3,3
969,4,1,1,3,3
969,5,1,1,3,3
969,6,1,1,3,3
969,7,1,1,3,3
971,1,1,1,3,4
971,2,1,1,3,3
971,3,1,5,3,3
971,4,1,5,3,3
971,5,1,5,3,3
971,6,1,5,3,3
971,7,1,5,3,4
973,1,1,1,3,3
973,2,1,1,3,3
973,3,1,5,3,3
973,4,1,1,3,4
973,5,1,5,3,3
973,6,1,5,3,3
973,7,1,5,3,3
1047,1,1,5,3,3
1047,2,1,5,2,3
1047,3,1,5,2,3
1047,4,1,5,2,3
1047,5,1,5,2,3
1047,6,1,5,2,3
1047,7,1,5,2,4
1048,1,1,5,3,3
1048,2,1,5,3,3
1048,3,1,5,3,3
1048,4,1,5,3,3
1048,5,1,5,3,3
1048,6,1,5,3,3
1048,7,1,1,3,4
1049,1,1,1,2,2
1049,2,1,1,2,2
1049,3,1,1,2,2
1049,4,1,1,2,2
1049,5,1,1,2,2
1049,6,1,1,2,2
1049,7,1,1,2,2
1050,1,1,5,2,3
1050,2,1,5,3,3
1050,3,1,5,2,3
1050,4,1,5,2,3
1050,5,1,5,2,3
1050,6,1,5,2,3
1050,7,1,5,2,3
1051,1,1,5,3,3
1051,2,1,5,3,3
1051,3,1,5,3,3
1051,4,1,5,3,3
1051,5,1,5,3,3
1051,6,1,5,3,4
1051,7,1,5,3,3
1052,1,1,5,3,3
1052,2,1,5,3,3
1052,3,1,5,3,3
1052,4,1,5,3,3
1052,5,1,5,3,3
1052,6,1,5,3,3
1052,7,1,5,3,3
1055,1,1,1,3,3
1055,2,1,1,3,3
1055,3,1,1,3,3
1055,4,1,1,3,3
1055,5,1,1,3,3
1055,6,1,1,3,3
1055,7,1,1,3,3
1056,,,,,
1057,1,1,5,2,3
1057,2,1,1,3,4
1057,3,1,5,2,3
1057,4,1,5,2,3
1057,5,1,5,2,3
1057,6,1,5,2,3
1057,7,1,5,2,3
1058,1,1,2,3,3
1058,2,1,2,3,3
1058,3,1,2,3,3
1058,4,1,2,3,3
1058,5,1,2,3,3
