HH_Id,Item_Consumed,Money_Value_ETB,Spent_Low_Yn
971,4,3000,1
971,5,200,1
971,6,4800,1
971,7,140,1
971,8,40,1
971,9,0,
973,1,100,1
973,2,1000,0
973,3,0,
973,4,1000,0
973,5,200,1
973,6,0,
973,7,1500,0
973,8,0,
973,9,1300,0
1047,1,300,0
1047,2,2500,0
1047,3,350,0
1047,4,1000,0
1047,5,300,0
1047,6,0,
1047,7,450,0
1047,8,0,
1047,9,0,
1048,1,1000,0
1048,2,5000,0
1048,3,2250,0
1048,4,500,0
1048,5,15000,0
1048,6,0,
1048,7,980,0
1048,8,0,
1048,9,11000,0
1049,1,400,0
1049,2,200,0
1049,3,500,1
1049,4,0,
1049,5,0,
1049,6,300,0
1049,7,385,1
1049,8,0,
1049,9,0,
1050,1,0,
1050,2,0,
1050,3,300,0
1050,4,10000,0
1050,5,500,0
1050,6,0,
1050,7,1070,0
1050,8,0,
1050,9,1300,0
1051,1,2000,0
1051,2,3000,0
1051,3,440,0
1051,4,0,
1051,5,0,
1051,6,0,
1051,7,950,0
1051,8,0,
1051,9,2500,0
1052,1,300,0
1052,2,0,
1052,3,1500,0
1052,4,500,0
1052,5,0,
1052,6,0,
1052,7,350,0
1052,8,0,
1052,9,0,
1055,1,1000,0
1055,2,5000,0
1055,3,9000,0
1055,4,150000,0
1055,5,10000,0
1055,6,0,
1055,7,600,0
1055,8,0,
1055,9,0,
1056,1,150,0
1056,2,1000,0
1056,3,440,1
1056,4,3000,0
1056,5,0,
1056,6,0,
1056,7,1000,1
1056,8,200,0
1056,9,0,
1057,1,0,
1057,2,2500,0
1057,3,0,
1057,4,800,0
1057,5,1500,0
1057,6,0,
1057,7,450,0
1057,8,0,
1057,9,500,0
1058,1,300,0
1058,2,2000,0
1058,3,350,0
1058,4,5000,0
1058,5,1700,0
1058,6,0,
1058,7,700,1
1058,8,250,0
1058,9,0,
1059,1,0,
1059,2,3000,1
1059,3,0,
1059,4,0,
1059,5,400,1
1059,6,0,
1059,7,780,1
1059,8,50,0
1059,9,0,
1060,1,5000,0
1060,2,8000,0
1060,3,240,0
1060,4,0,
1060,5,2000,0
1060,6,0,
1060,7,450,0
1060,8,0,
1060,9,0,
1117,1,400,0
1117,2,1800,0
1117,3,410,0
1117,4,0,
1117,5,800,1
1117,6,0,
1117,7,700,1
1117,8,200,0
1117,9,0,
1118,1,0,
1118,2,1500,0
1118,3,350,0
1118,4,1000,0
1118,5,800,0
1118,6,350,0
1118,7,0,
1118,8,0,
1118,9,0,
1120,1,300,0
1120,2,2300,0
1120,3,350,0
1120,4,3000,0
1120,5,700,0
1120,6,0,
1120,7,650,1
1120,8,150,0
1120,9,0,
1121,1,0,
1121,2,150,0
1121,3,800,0
1121,4,0,
1121,5,350,1
1121,6,0,
1121,7,485,0
1121,8,600,1
1121,9,0,
1122,1,3000,0
1122,2,9000,0
1122,3,340,0
1122,4,0,
1122,5,4000,0
1122,6,0,
1122,7,140,0
1122,8,0,
1122,9,6000,0
1124,1,0,
1124,2,400,0
1124,3,350,0
1124,4,500,0
1124,5,200,0
1124,6,0,
1124,7,500,0
1124,8,0,
1124,9,250,0
1127,1,2000,0
1127,2,6000,0
1127,3,250,0
1127,4,0,
1127,5,1000,0
1127,6,0,
1127,7,75,0
1127,8,0,
1127,9,2500,0
1131,1,1500,0
1131,2,800,0
1131,3,630,1
1131,4,40,1
1131,5,50,1
1131,6,0,
1131,7,272,1
1131,8,0,
1131,9,0,
1344,1,250,0
1344,2,1000,0
1344,3,400,0
1344,4,1500,0
1344,5,0,
1344,6,0,
1344,7,205,0
1344,8,0,
1344,9,0,
1346,1,0,
1346,2,1000,0
1346,3,0,
1346,4,250,0
1346,5,200,1
1346,6,0,
1346,7,150,1
1346,8,0,
1346,9,0,
1347,1,0,
1347,2,1800,0
1347,3,300,0
1347,4,500,0
1347,5,600,0
1347,6,0,
1347,7,390,0
1347,8,0,
1347,9,0,
1349,1,2000,0
1349,2,5000,0
1349,3,240,0
1349,4,0,
1349,5,2000,0
1349,6,0,
1349,7,290,0
1349,8,0,
1349,9,1300,0
1350,1,0,
1350,2,1200,1
1350,3,0,
1350,4,3000,1
1350,5,400,1
1350,6,0,
1350,7,550,1
1350,8,30,0
1350,9,0,
1352,1,0,
1352,2,2500,0
1352,3,400,0
1352,4,500,0
1352,5,300,0
1352,6,0,
1352,7,300,0
1352,8,0,
1352,9,0,
1354,1,200,1
1354,2,1200,0
1354,3,350,1
1354,4,0,
1354,5,0,
1354,6,0,
1354,7,290,0
1354,8,450,0
1354,9,0,
1356,1,500,0
1356,2,3500,0
1356,3,290,0
1356,4,8000,0
1356,5,1500,1
1356,6,0,
1356,7,320,0
1356,8,150,0
1356,9,0,
1357,1,2000,0
1357,2,3000,0
1357,3,240,1
1357,4,0,
1357,5,3000,0
1357,6,0,
1357,7,60,1
1357,8,0,
1357,9,1400,0
1358,1,0,
1358,2,3000,0
1358,3,300,0
1358,4,500,0
1358,5,150,0
1358,6,300,0
1358,7,90,0
1358,8,0,
1358,9,0,
1359,1,500,0
1359,2,1000,0
1359,3,560,0
1359,4,600,0
1359,5,0,
1359,6,0,
1359,7,1050,0
1359,8,0,
1359,9,0,
1379,1,570,0
1379,2,6000,0
1379,3,250,1
1379,4,3000,0
1379,5,900,0
1379,6,0,
1379,7,1200,0
1379,8,0,
1379,9,0,
1380,1,2000,0
1380,2,3000,0
1380,3,240,0
1380,4,1000,0
1380,5,0,
1380,6,0,
1380,7,1000,0
1380,8,0,
1380,9,2500,0
1381,1,0,
1381,2,0,
1381,3,550,0
1381,4,0,
1381,5,1000,0
1381,6,0,
1381,7,1000,0
1381,8,0,
1381,9,2000,0
1382,1,500,0
1382,2,2500,1
1382,3,240,0
1382,4,7000,1
1382,5,1500,1
1382,6,0,
1382,7,1370,1
1382,8,120,0
1382,9,0,
1383,1,0,
1383,2,5000,0
1383,3,240,1
1383,4,1500,0
1383,5,1000,0
1383,6,0,
1383,7,3000,0
1383,8,0,
1383,9,0,
1385,1,0,
1385,2,1500,0
1385,3,4000,0
1385,4,0,
1385,5,1000,0
1385,6,0,
1385,7,1100,0
1385,8,0,
1385,9,0,
1386,1,0,
1386,2,3000,0
1386,3,240,1
1386,4,0,
1386,5,1500,0
1386,6,0,
1386,7,1250,0
1386,8,0,
1386,9,0,
1387,1,300,0
1387,2,1500,0
1387,3,160,0
1387,4,5000,1
1387,5,0,
1387,6,0,
1387,7,1380,1
1387,8,150,0
1387,9,0,
1388,1,0,
1388,2,1500,1
1388,3,260,1
1388,4,4000,1
1388,5,400,1
1388,6,0,
1388,7,1900,1
1388,8,150,1
1388,9,0,
1390,1,0,
1390,2,700,1
1390,3,420,0
1390,4,0,
1390,5,800,0
1390,6,1000,0
1390,7,1200,0
1390,8,0,
1390,9,0,
1391,1,500,0
1391,2,10000,0
1391,3,340,0
1391,4,3000,0
1391,5,3000,0
1391,6,0,
1391,7,1870,0
1391,8,0,
1391,9,0,
1393,1,700,0
1393,2,2500,0
1393,3,450,0
1393,4,1200,0
1393,5,1500,0
1393,6,0,
1393,7,750,0
1393,8,0,
1393,9,0,
1394,1,2000,0
1394,2,2000,0
1394,3,450,0
1394,4,250,0
1394,5,250,0
1394,6,0,
1394,7,600,0
1394,8,0,
1394,9,0,
1396,1,1500,0
1396,2,3500,0
1396,3,2500,0
1396,4,1500,0
1396,5,1000,0
1396,6,0,
1396,7,650,0
1396,8,0,
1396,9,0,
1397,1,2000,0
1397,2,4000,0
1397,3,350,0
1397,4,0,
1397,5,0,
1397,6,0,
1397,7,350,0
1397,8,2000,0
1397,9,0,
1398,1,0,
1398,2,800,0
1398,3,500,1
1398,4,1500,0
1398,5,400,1
1398,6,0,
1398,7,630,1
1398,8,0,
1398,9,0,
1399,1,300,0
1399,2,1500,0
1399,3,440,0
1399,4,0,
1399,5,1000,1
1399,6,0,
1399,7,640,1
1399,8,200,1
1399,9,0,
1400,1,350,1
1400,2,2500,1
1400,3,450,0
1400,4,3000,0
1400,5,700,1
1400,6,0,
1400,7,684,1
1400,8,180,0
1400,9,0,
1502,1,380,0
1502,2,2000,0
1502,3,400,0
1502,4,900,0
1502,5,150,0
1502,6,0,
1502,7,300,0
1502,8,0,
1502,9,0,
1504,1,2000,0
1504,2,3500,0
1504,3,0,
1504,4,0,
1504,5,2000,0
1504,6,0,
1504,7,600,0
1504,8,0,
1504,9,1500,0
1505,1,300,0
1505,2,1800,0
1505,3,345,0
1505,4,0,
1505,5,600,0
1505,6,0,
1505,7,645,1
1505,8,150,0
1505,9,0,
1506,1,250,0
1506,2,2000,0
1506,3,400,0
1506,4,3000,1
1506,5,500,0
1506,6,0,
1506,7,640,1
1506,8,175,0
1506,9,0,
1507,1,400,0
1507,2,2000,0
1507,3,300,0
1507,4,500,0
1507,5,200,0
1507,6,0,
1507,7,360,0
1507,8,0,
1507,9,0,
1508,1,3000,0
1508,2,5000,0
1508,3,450,0
1508,4,4500,0
1508,5,2000,0
1508,6,0,
1508,7,600,0
1508,8,0,
1508,9,6000,0
1509,1,2000,0
1509,2,0,
1509,3,3000,0
1509,4,500,0
1509,5,1000,0
1509,6,0,
1509,7,680,0
1509,8,0,
1509,9,0,
1559,1,500,0
1559,2,3500,0
1559,3,1500,1
1559,4,50000,1
1559,5,500,0
1559,6,0,
1559,7,420,1
1559,8,150,0
1559,9,0,
1561,1,350,0
1561,2,3000,0
1561,3,750,0
1561,4,6000,1
1561,5,2800,0
1561,6,0,
1561,7,710,1
1561,8,200,0
1561,9,0,
1562,1,15000,0
1562,2,15000,0
1562,3,450,0
1562,4,400,1
1562,5,500,0
1562,6,0,
1562,7,1500,0
1562,8,0,
1562,9,0,
1563,1,500,0
1563,2,5000,0
1563,3,0,
1563,4,1000,0
1563,5,0,
1563,6,0,
1563,7,180,1
1563,8,0,
1563,9,0,
1895,1,150,1
1895,2,3000,0
1895,3,400,0
1895,4,3500,0
1895,5,5000,0
1895,6,0,
1895,7,500,0
1895,8,0,
1895,9,0,
1897,1,0,
1897,2,1500,0
1897,3,400,1
1897,4,5000,0
1897,5,300,1
1897,6,0,
1897,7,600,0
1897,8,0,
1897,9,0,
1899,1,2000,0
1899,2,5000,0
1899,3,400,0
1899,4,0,
1899,5,800,0
1899,6,0,
1899,7,75,0
1899,8,375,0
1899,9,0,
1923,1,1000,0
1923,2,2000,0
1923,3,350,0
1923,4,30000,0
1923,5,0,
1923,6,0,
1923,7,755,0
1923,8,0,
1923,9,0,
1925,1,3000,0
1925,2,5000,0
1925,3,148,0
1925,4,0,
1925,5,0,
1925,6,0,
1925,7,175,0
1925,8,0,
1925,9,0,
1926,1,5000,0
1926,2,15000,0
1926,3,350,0
1926,4,20000,0
1926,5,0,
1926,6,0,
1926,7,435,0
1926,8,0,
1926,9,0,
1930,1,0,
1930,2,5000,0
1930,3,500,0
1930,4,2000,0
1930,5,500,0
1930,6,0,
1930,7,1000,0
1930,8,0,
1930,9,0,
1931,1,34000,1
1931,2,4000,1
1931,3,0,
1931,4,0,
1931,5,0,
1931,6,0,
1931,7,650,1
1931,8,890,1
1931,9,0,
1932,1,300,0
1932,2,1300,0
1932,3,1260,1
1932,4,30000,1
1932,5,600,1
1932,6,0,
1932,7,600,1
1932,8,0,
1932,9,0,
1933,1,250,0
1933,2,1800,0
1933,3,240,1
1933,4,3000,0
1933,5,500,0
1933,6,0,
1933,7,912,1
1933,8,0,
1933,9,0,
1934,1,14000,0
1934,2,1500,0
1934,3,800,1
1934,4,4000,0
1934,5,450,1
1934,6,0,
1934,7,0,
1934,8,0,
1934,9,0,
1935,1,400,0
1935,2,1200,1
1935,3,800,0
1935,4,2500,0
1935,5,350,0
1935,6,0,
1935,7,0,
1935,8,0,
1935,9,0,
1936,1,2000,1
1936,2,2000,1
1936,3,0,
1936,4,0,
1936,5,200,0
1936,6,0,
1936,7,250,0
1936,8,0,
1936,9,0,
1938,1,1500,0
1938,2,6000,1
1938,3,500,0
1938,4,0,
1938,5,0,
1938,6,0,
1938,7,250,0
1938,8,0,
1938,9,0,
1942,1,0,
1942,2,800,0
1942,3,0,
1942,4,500,0
1942,5,0,
1942,6,0,
1942,7,250,0
1942,8,0,
1942,9,0,
1944,1,200,1
1944,2,700,1
1944,3,1200,0
1944,4,400,1
1944,5,550,1
1944,6,0,
1944,7,800,1
1944,8,0,
1944,9,0,
1945,1,500,0
1945,2,400,0
1945,3,100,1
1945,4,0,
1945,5,600,0
1945,6,0,
1945,7,0,
1945,8,250,0
1945,9,400,0
1947,1,0,
1947,2,350,1
1947,3,80,1
1947,4,50,1
1947,5,160,1
1947,6,0,
1947,7,700,1
1947,8,0,
1947,9,0,
1949,1,300,0
1949,2,800,0
1949,3,500,0
1949,4,2000,0
1949,5,550,1
1949,6,1500,0
1949,7,900,0
1949,8,0,
1949,9,0,
1950,1,0,
1950,2,1500,0
1950,3,400,0
1950,4,200,0
1950,5,500,0
1950,6,0,
1950,7,500,0
1950,8,0,
1950,9,0,
1951,1,1000,1
1951,2,1500,1
1951,3,100,0
1951,4,0,
1951,5,0,
1951,6,0,
1951,7,150,0
1951,8,0,
1951,9,0,
1952,1,1000,1
1952,2,17000,0
1952,3,500,1
1952,4,300,1
1952,5,1000,0
1952,6,29000,0
1952,7,500,0
1952,8,0,
1952,9,0,
1953,1,250,0
1953,2,1000,0
1953,3,300,0
1953,4,1500,0
1953,5,700,0
1953,6,1200,0
1953,7,1100,0
1953,8,0,
1953,9,0,
1954,1,300,0
1954,2,2000,0
1954,3,350,0
1954,4,0,
1954,5,800,0
1954,6,0,
1954,7,640,1
1954,8,200,0
1954,9,0,
1955,1,500,0
1955,2,2300,0
1955,3,385,0
1955,4,5500,1
1955,5,1300,1
1955,6,0,
1955,7,1130,1
1955,8,350,0
1955,9,0,
1957,1,500,0
1957,2,850,1
1957,3,490,1
1957,4,1800,0
1957,5,0,
1957,6,0,
1957,7,290,1
1957,8,0,
1957,9,0,
1960,1,1500,0
1960,2,5000,0
1960,3,2500,0
1960,4,2000,0
1960,5,5000,0
1960,6,0,
1960,7,750,0
1960,8,0,
1960,9,0,
1961,1,6000,0
1961,2,9000,0
1961,3,260,0
1961,4,10000,0
1961,5,0,
1961,6,10000,0
1961,7,1300,0
1961,8,0,
1961,9,10000,0
1962,1,500,0
1962,2,1000,0
1962,3,250,0
1962,4,150,1
1962,5,1000,0
1962,6,0,
1962,7,560,0
1962,8,0,
1962,9,0,
1963,1,350,0
1963,2,2500,0
1963,3,450,1
1963,4,8000,1
1963,5,5000,1
1963,6,0,
1963,7,1274,1
1963,8,300,0
1963,9,0,
1965,1,680,1
1965,2,6500,1
1965,3,0,
1965,4,25000,1
1965,5,0,
1965,6,0,
1965,7,1400,1
1965,8,0,
1965,9,0,
1966,1,3000,0
1966,2,6000,0
1966,3,0,
1966,4,4000,1
1966,5,5000,1
1966,6,0,
1966,7,1500,0
1966,8,0,
1966,9,6000,0
1967,1,600,0
1967,2,3000,0
1967,3,350,0
1967,4,0,
1967,5,0,
1967,6,0,
1967,7,1500,1
1967,8,200,0
1967,9,0,
1968,1,600,0
1968,2,2000,0
1968,3,150,0
1968,4,1500,0
1968,5,0,
1968,6,0,
1968,7,800,0
1968,8,0,
1968,9,0,
1969,1,800,0
1969,2,3500,0
1969,3,0,
1969,4,1000,0
1969,5,1000,0
1969,6,0,
1969,7,1150,0
1969,8,0,
1969,9,0,
1975,1,0,
1975,2,250,1
1975,3,2000,0
1975,4,0,
1975,5,300,1
1975,6,0,
1975,7,350,0
1975,8,0,
1975,9,0,
1976,1,350,0
1976,2,1800,0
1976,3,300,0
1976,4,4000,0
1976,5,2500,1
1976,6,0,
1976,7,275,1
1976,8,150,0
1976,9,0,
1978,1,500,0
1978,2,3000,0
1978,3,450,0
1978,4,3000,0
1978,5,800,0
1978,6,0,
1978,7,1000,0
1978,8,0,
1978,9,0,
1980,1,250,0
1980,2,1500,0
1980,3,840,1
1980,4,0,
1980,5,0,
1980,6,0,
1980,7,290,1
1980,8,200,0
1980,9,0,
1991,1,0,
1991,2,1000,1
1991,3,0,
1991,4,0,
1991,5,400,1
1991,6,0,
1991,7,700,1
1991,8,0,
1991,9,0,
1992,1,10000,0
1992,2,10000,0
1992,3,250,0
1992,4,1000,1
1992,5,0,
1992,6,0,
1992,7,490,0
1992,8,0,
1992,9,0,
1993,1,0,
1993,2,0,
1993,3,2500,1
1993,4,500,0
1993,5,600,1
1993,6,0,
1993,7,1000,1
1993,8,30,0
1993,9,0,
1994,1,5000,0
1994,2,12000,0
1994,3,340,0
1994,4,1000,0
1994,5,600,0
1994,6,0,
1994,7,450,0
1994,8,0,
1994,9,0,
1995,1,0,
1995,2,2000,0
1995,3,1200,0
1995,4,1200,0
1995,5,200,0
1995,6,0,
1995,7,480,0
1995,8,0,
1995,9,200,0
1996,1,500,0
1996,2,800,1
1996,3,380,0
1996,4,2000,0
1996,5,350,0
1996,6,0,
1996,7,300,0
1996,8,0,
1996,9,0,
1997,1,1000,0
1997,2,2000,0
1997,3,350,0
1997,4,0,
1997,5,0,
1997,6,0,
1997,7,350,0
1997,8,0,
1997,9,0,
1999,1,2000,0
1999,2,5000,0
1999,3,400,0
1999,4,0,
1999,5,0,
1999,6,0,
1999,7,370,0
1999,8,0,
1999,9,0,
2000,1,350,0
2000,2,1800,0
2000,3,350,0
2000,4,2500,0
2000,5,650,1
2000,6,0,
2000,7,470,1
2000,8,250,0
2000,9,0,
2020,1,10000,0
2020,2,15000,0
2020,3,400,0
2020,4,1000,0
2020,5,15000,0
2020,6,0,
2020,7,600,0
2020,8,0,
2020,9,0,
2021,1,150,0
2021,2,2500,0
2021,3,0,
2021,4,1500,1
2021,5,600,1
2021,6,0,
2021,7,900,1
2021,8,0,
2021,9,0,
2023,1,350,0
2023,2,2000,0
2023,3,400,0
2023,4,0,
2023,5,1500,1
2023,6,0,
2023,7,600,1
2023,8,0,
2023,9,0,
2025,1,250,0
2025,2,1800,0
2025,3,400,0
2025,4,2000,0
2025,5,600,1
2025,6,0,
2025,7,600,1
2025,8,0,
2025,9,0,
2026,1,0,
2026,2,600,0
2026,3,700,0
2026,4,2000,0
2026,5,0,
2026,6,0,
2026,7,0,
2026,8,0,
2026,9,0,
2027,1,40000,0
2027,2,30000,0
2027,3,350,0
2027,4,3000,0
2027,5,2000,1
2027,6,0,
2027,7,3740,0
2027,8,20000,0
